trial_id,gesture,decision_latency_ms,actuation_latency_ms,end_to_end_latency_ms
0,,0.0,1923.8,1923.81
1,right,0.0,863.9,863.9
2,left,0.0,752.99,752.99
3,right,0.0,833.61,833.62
4,left,0.0,751.79,751.79
5,right,0.0,739.8,739.8
6,left,0.0,846.0,846.0
7,right,0.0,678.57,678.57
8,left,0.0,782.86,782.86
9,right,0.0,818.86,818.86
10,left,0.0,788.95,788.95
11,up,0.0,726.02,726.02
12,up,0.0,815.99,815.99
13,up,0.0,777.52,777.52
14,up,0.0,659.52,659.53
15,up,0.0,782.14,782.14
16,down,0.0,625.58,625.58
17,down,0.0,689.87,689.87
18,down,0.0,665.12,665.12
19,down,0.0,657.74,657.74
20,down,0.0,603.22,603.22
21,back,0.0,747.15,747.16
22,back,0.0,854.92,854.92
23,back,0.0,862.6,862.6
24,back,0.0,781.7,781.71
25,back,0.0,726.97,726.97
26,back,0.0,660.11,660.11
27,forward,0.0,717.64,717.64
28,forward,0.0,851.54,851.54
29,forward,0.0,713.21,713.22
30,forward,0.0,685.08,685.09
32,forward,0.0,655.72,655.72
0,,0.0,1591.82,1591.82
33,right,0.0,830.32,830.32
34,right,0.0,811.65,811.66
35,right,0.0,725.8,725.8
36,right,0.0,789.15,789.15
37,right,0.0,828.28,828.28
38,forward,0.0,707.32,707.32
39,forward,0.0,864.19,864.19
40,forward,0.0,795.89,795.9
41,forward,0.0,746.4,746.4
42,forward,0.0,886.06,886.06
43,back,0.0,750.13,750.13
44,back,0.0,849.7,849.7
45,back,0.0,793.89,793.89
46,back,0.0,879.76,879.76
47,back,0.0,831.87,831.88
48,left,0.0,892.18,892.18
49,left,0.0,867.71,867.71
50,left,0.0,796.43,796.43
51,left,0.0,887.1,887.1
52,left,0.0,1011.1,1011.11
53,up,0.0,658.96,658.96
54,up,0.0,842.2,842.21
55,up,0.0,724.24,724.25
56,up,0.0,724.85,724.86
57,up,0.0,790.75,790.75
58,down,0.0,681.23,681.23
59,down,0.0,724.91,724.91
60,down,0.0,818.11,818.11
61,down,0.01,628.26,628.26
62,down,0.0,580.04,580.04
